Symbol,Date,Open,High,Low,Close,Percent Change,Volume
RLFL,2025-01-08,576.00,630.00,576.00,618.00,7.29 %,"78,204.00"
RLFL,2025-01-09,620.00,630.30,599.00,603.00,-2.43 %,"76,597.00"
RLFL,2025-01-12,605.00,610.00,566.00,580.20,-3.78 %,"37,181.00"
RLFL,2025-01-13,580.00,603.60,580.00,588.00,1.34 %,"48,177.00"
RLFL,2025-01-15,578.00,596.00,565.10,568.00,-3.40 %,"32,279.00"
RLFL,2025-01-16,558.60,580.00,523.70,525.00,-7.57 %,"102,902.00"
RLFL,2025-01-19,520.00,551.00,520.00,542.00,3.24 %,"74,225.00"
RLFL,2025-01-20,531.20,555.00,525.00,530.00,-2.21 %,"43,682.00"
RLFL,2025-01-21,540.00,540.00,523.50,530.00,0.00 %,"24,012.00"
RLFL,2025-01-22,535.10,539.00,525.00,530.00,0.00 %,"46,685.00"
RLFL,2025-01-23,530.00,534.50,504.00,514.90,-2.85 %,"73,520.00"
RLFL,2025-01-26,510.00,510.00,474.40,481.10,-6.56 %,"112,462.00"
RLFL,2025-01-27,483.90,520.00,465.00,495.00,2.89 %,"52,877.00"
RLFL,2025-01-28,500.00,516.00,488.00,505.00,2.02 %,"41,900.00"
RLFL,2025-02-02,504.00,529.30,500.00,517.00,2.38 %,"31,586.00"
RLFL,2025-02-03,526.00,527.00,501.00,510.00,-1.35 %,"48,009.00"
RLFL,2025-02-04,509.00,520.00,498.00,499.00,-2.16 %,"31,722.00"
RLFL,2025-02-05,505.00,533.00,495.10,528.00,5.81 %,"61,866.00"
RLFL,2025-02-06,528.00,555.00,526.30,529.50,0.28 %,"76,887.00"
RLFL,2025-02-09,535.90,543.90,515.00,531.00,0.28 %,"46,411.00"
RLFL,2025-02-10,526.20,541.00,524.00,528.00,-0.56 %,"31,877.00"
RLFL,2025-02-11,517.50,539.00,517.50,520.90,-1.34 %,"37,301.00"
RLFL,2025-02-12,522.00,555.00,521.00,550.00,5.59 %,"132,347.00"
RLFL,2025-02-13,539.00,596.00,539.00,583.00,6.00 %,"145,582.00"
RLFL,2025-02-16,586.00,639.90,582.90,621.90,6.67 %,"254,488.00"
RLFL,2025-02-17,634.30,682.90,634.30,666.00,7.09 %,"368,206.00"
RLFL,2025-02-18,679.30,703.80,654.00,674.90,1.34 %,"253,041.00"
