Symbol,Date,Open,High,Low,Close,Percent Change,Volume
SPHL,2025-01-08,790.00,850.00,790.00,840.00,4.22 %,"13,445.00"
SPHL,2025-01-09,841.00,850.00,811.00,828.90,-1.32 %,"9,508.00"
SPHL,2025-01-12,815.20,840.00,815.20,829.00,0.01 %,"3,917.00"
SPHL,2025-01-13,817.20,823.00,790.70,805.00,-2.90 %,"10,237.00"
SPHL,2025-01-15,812.90,830.00,801.00,820.10,1.88 %,"7,948.00"
SPHL,2025-01-16,811.00,884.00,811.00,860.00,4.87 %,"13,494.00"
SPHL,2025-01-19,860.00,874.00,830.50,849.00,-1.28 %,"10,386.00"
SPHL,2025-01-20,833.00,865.00,827.00,843.00,-0.71 %,"8,483.00"
SPHL,2025-01-21,830.20,863.00,830.20,850.00,0.83 %,"22,911.00"
SPHL,2025-01-22,860.00,866.00,846.00,846.00,-0.47 %,"11,888.00"
SPHL,2025-01-23,841.00,857.00,836.10,850.00,0.47 %,"11,097.00"
SPHL,2025-01-26,845.10,922.00,842.00,898.00,5.65 %,"21,448.00"
SPHL,2025-01-27,882.00,897.00,867.90,875.00,-2.56 %,"6,820.00"
SPHL,2025-01-28,885.00,909.00,872.20,872.20,-0.32 %,"12,431.00"
SPHL,2025-02-02,889.50,905.00,877.00,880.00,0.89 %,"14,533.00"
SPHL,2025-02-03,880.10,907.00,870.10,890.00,1.14 %,"11,016.00"
SPHL,2025-02-04,900.00,900.00,873.20,890.00,0.00 %,"4,956.00"
SPHL,2025-02-05,875.20,895.00,872.20,879.00,-1.24 %,"9,267.00"
SPHL,2025-02-06,865.30,882.00,865.30,866.00,-1.48 %,"6,082.00"
SPHL,2025-02-09,866.00,898.80,855.00,860.10,-0.68 %,"9,265.00"
SPHL,2025-02-10,858.00,872.00,858.00,859.00,-0.13 %,"6,235.00"
SPHL,2025-02-11,859.00,865.00,848.10,859.60,0.07 %,"5,278.00"
SPHL,2025-02-12,859.00,865.00,847.00,855.00,-0.54 %,"6,069.00"
SPHL,2025-02-13,838.10,865.00,838.10,845.00,-1.17 %,"4,733.00"
SPHL,2025-02-16,847.00,864.00,833.00,852.00,0.83 %,"4,038.00"
SPHL,2025-02-17,852.00,871.00,852.00,865.00,1.53 %,"8,056.00"
SPHL,2025-02-18,881.00,896.90,855.30,860.00,-0.58 %,"6,953.00"
